,specificity,actionability,compliance,outcome_evidence,risk_tone,transparency,TOS_final,NameOfTheCompany,Sector,min_TOS,max_TOS,TOS_range,SRS,Risk_Category
160,0.45,0.7778,0.0488,0.7,0.675,0.45000000000000007,0.53282,Exide Industries Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,66.0248402519343,Low Risk
161,0.0,0.5556,0.0207,0.25,0.675,0.2,0.26776,FISCHER MEDICAL VENTURES LIMITED,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,0.26362,0.6177271111111111,0.3541071111111111,1.1691377750109444,Very High Risk
162,0.6,0.7778,0.084202,0.7,0.735,0.6659999999999999,0.5792004000000001,FSN E Commerce Ventures Limited,Transportation and Storage,0.27448,0.5792004000000001,0.30472040000000006,100.0,Very Low Risk
163,0.0,0.5556,0.10369999999999999,0.55,0.808325,0.615,0.4084425,Fedbank Financial Services Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,37.66792716911122,High Risk
164,0.0,0.7778,0.06039,0.45,0.7562500000000001,0.435,0.40001300000000006,Fermenta Biotech Limited,"Water Supply; Sewerage, Waste Management and Remediation Activities",0.27752,0.5897648000000001,0.3122448000000001,39.229796621112676,High Risk
165,0.0,0.7778,0.08052000000000001,0.45,0.6361,0.6033333333333333,0.4004406666666667,Fino Payments Bank Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,35.58667270092179,High Risk
166,0.0,0.7778,0.0812775,0.45,0.7368,0.44,0.40249550000000006,Finolex Cables Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,34.06104272811109,High Risk
167,0.0,0.5556,0.058401428571428576,0.25,0.6583285714285714,0.4257142857142857,0.28491885714285714,Finolex Industries Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,5.22382481577233,Very High Risk
168,0.0,0.7778,0.11773666666666667,0.45,0.6361,0.6033333333333333,0.4078840000000001,Firstsource Solutions Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,35.06937731443615,High Risk
169,0.3,0.7778,0.04636,0.7,0.7444333333333333,0.6433333333333333,0.526442,Five-Star Business Finance Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,68.35926706444198,Low Risk
170,0.0,0.5556,0.1463,0.25,0.675,0.75,0.32038,Fortis Healthcare Limited,Human Health and Social Work Activities,0.27147,0.5622995,0.29082949999999996,16.817413639262874,Very High Risk
171,0.0,0.5556,0.04148,0.25,0.675,0.6399999999999999,0.29391599999999996,Fusion Finance Limited (Formerly known as Fusion Micro Finance Limited),Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,7.8799048595031245,Very High Risk
172,0.0,0.7778,0.08113000000000001,0.45,0.61665,0.585,0.397701,GE T&D India Limited,Construction,0.26362,0.6428337647058824,0.37921376470588236,35.35763004383373,High Risk
173,0.0,0.5556,0.0488,0.25,0.675,0.5,0.28838,GEM Enviro Management Ltd,"Water Supply; Sewerage, Waste Management and Remediation Activities",0.27752,0.5897648000000001,0.3122448000000001,3.4780403068361854,Very High Risk
174,0.0,0.5556,0.11467999999999999,0.45,0.94165,0.69,0.397721,GENESYS INTERNATIONAL CORPORATION LIMITED,"Professional, Scientific and Technical Activities",0.24088,0.5974623333333334,0.35658233333333345,43.984512225787945,Medium Risk
175,0.0,0.5556,0.06295200000000001,0.45,0.675,0.614,0.3569104,GFL LIMITED,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,24.26457209879165,High Risk
176,0.3,0.7778,0.12052,0.7,0.7444333333333333,0.62,0.5401073333333334,GHCL Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,67.812154587729,Low Risk
177,0.0,0.5556,0.072207,0.45,0.8674900000000001,0.402,0.3674104,GIC Housing Finance Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,26.995592729395796,High Risk
