NameOfTheCompany,Sector,P3_1_raw,P3_2_raw,P3_3_raw,P3_4_raw,P3_5_raw,P3_6_raw,P5_1_raw,P5_2_raw,P5_3_raw,P5_4_raw,P8_1_raw,P8_2_raw,P9_1_raw,P3_1_score,P3_2_score,P3_3_score,P3_4_score,P3_5_score,P3_6_score,P5_1_score,P5_2_score,P5_3_score,P5_4_score,P8_1_score,P8_2_score,P9_1_score,P3_composite,P5_composite,P8_composite,P9_composite,fatality_flag,flag_A,flag_B,flag_C,flag_D,social_quant_score,global_scored,final_social_score
AMRUTANJAN HEALTH CARE LIMITED,Manufacturing,1.0,0.625,7.884294211693984e-11,0.0,0.4566,0.0,0.0,1.0,0.3,0.0,0.2417,2.209887681944372e-10,0.6666666666666666,34.89254108723135,69.59544879898863,94.19642857142857,0.0,80.02528445006321,97.20812182741116,95.448798988622,18.63753213367609,75.41087231352718,38.91752577319588,69.65865992414665,7.307171853856559,40.58154235145386,62.65297078918715,57.10368230225529,38.4829158890016,40.58154235145386,0,0,0,0,0,54.878068739959836,False,
APAR Industries Limited,Manufacturing,1.0,0.375,0.008869862945180084,1.27,0.70225,1.0,0.6543666666666667,0.9934600720186402,0.917,0.0,0.314,0.0,1.0,34.89254108723135,40.07585335018963,7.589285714285708,87.61061946902655,55.120101137800255,23.794416243654823,44.37420986093552,38.56041131105399,36.40960809102401,38.91752577319588,63.337547408343866,63.93775372124493,16.56131479140329,41.51380283369806,39.56543875905235,63.6376505647944,16.56131479140329,0,0,0,0,0,41.65520376300704,False,
APEX FROZEN FOODS LIMITED,Manufacturing,1.0,0.4375,0.0,0.0,0.9167000000000001,1.0,1.0,0.08062682560985238,1.0,0.0,0.5,0.0,0.7000000000000001,34.89254108723135,47.97724399494311,98.28869047619048,0.0,30.84702907711757,23.794416243654823,7.458912768647281,94.08740359897172,17.38305941845765,38.91752577319588,35.524652338811634,63.93775372124493,36.283185840707965,39.299986813189555,39.46172538981813,49.73120303002828,36.283185840707965,0,0,0,0,0,40.61959765028721,False,
APL Apollo Tubes Limited,Manufacturing,0.5,0.125,5.5193443346763074e-05,9.3,0.5,0.7711,0.8333333333333334,1.0,0.97,0.0,0.495,0.0,1.0,88.62199747155499,7.774968394437421,90.0297619047619,96.96586599241465,75.53729456384323,76.58629441624366,24.525916561314787,18.63753213367609,35.08217446270544,38.91752577319588,39.94943109987358,63.93775372124493,16.56131479140329,72.58603045720932,29.290787232723048,51.943592410559255,16.56131479140329,0,0,0,0,0,48.733858055061006,False,
ARVIND LIMITED,Manufacturing,1.0,0.27021249999999997,0.0004978733522605634,0.0,0.06675,0.8845,0.4667666666666667,0.6914741035856574,0.5,0.0,0.76,4.259154929577465e-12,0.0,34.89254108723135,30.341340075853353,65.47619047619048,90.0,95.19595448798988,64.46700507614213,58.53350189633375,79.04884318766067,60.93552465233881,38.91752577319588,4.29835651074589,18.944519621109606,80.53097345132744,90.0,59.35884887738228,11.621438065927748,80.53097345132744,1,0,0,0,0,66.57191016210571,False,
ASHAPURA MINECHEM LIMITED,Manufacturing,1.0,0.625,0.001085270481139864,2.2,0.55,1.0,0.8666166666666667,1.0,0.5,0.0,0.5,0.0,1.0,34.89254108723135,69.59544879898863,45.53571428571429,91.1504424778761,68.3944374209861,23.794416243654823,18.078381795195952,18.63753213367609,60.93552465233881,38.91752577319588,35.524652338811634,63.93775372124493,16.56131479140329,55.56050005240855,34.14224108860168,49.73120303002828,16.56131479140329,0,0,0,0,0,43.28979633561858,False,
ASK Automotive Limited,Manufacturing,1.0,0.375,0.0013797561084311137,0.0,1.0,0.9432,0.8333333333333334,1.0,0.8160000000000001,0.0,0.60365,0.0,0.0,34.89254108723135,40.07585335018963,39.583333333333336,0.0,10.429835651074598,57.36040609137056,24.525916561314787,18.63753213367609,39.19089759797725,38.91752577319588,15.6763590391909,63.93775372124493,80.53097345132744,30.39032825219991,30.317968016541002,39.807056380217915,80.53097345132744,0,0,0,0,0,36.791575908834744,False,
ASTEC LIFESCIENCES LIMITED,Manufacturing,1.0,0.625,0.0023690949749407306,0.0,0.92875,0.8575,0.9095833333333333,1.0,0.375,0.016666666666666666,0.324,0.0,1.0,34.89254108723135,69.59544879898863,26.488095238095227,0.0,28.88748419721871,67.00507614213198,17.067003792667506,18.63753213367609,74.58912768647282,95.03865979381443,62.32616940581542,63.93775372124493,16.56131479140329,37.81144091061099,51.33308085165771,63.131961563530176,16.56131479140329,0,0,0,0,0,44.217080375994456,False,
ASTRA MICROWAVE PRODUCTS LIMITED,Manufacturing,1.0,1.0,,0.0,1.0,0.7666,0.3333333333333333,0.8899801312844244,1.0,0.0,0.32235,,1.0,34.89254108723135,93.8685208596713,,0.0,10.429835651074598,77.03045685279187,69.0897597977244,52.69922879177378,17.38305941845765,38.91752577319588,62.579013906447535,,16.56131479140329,43.24427089015383,44.522393445287925,62.579013906447535,16.56131479140329,0,0,0,0,0,43.92352962701976,False,
AUTOLINE INDUSTRIES LIMITED,Manufacturing,0.92835,0.7456875000000001,0.22383790554381047,5.2,1.0,1.0,0.8333333333333334,0.0,0.5,0.0,0.845,0.0,0.0,75.72692793931732,77.37041719342605,0.5208333333333428,95.19595448798988,10.429835651074598,23.794416243654823,24.525916561314787,98.0719794344473,60.93552465233881,38.91752577319588,2.275600505688999,63.93775372124493,80.53097345132744,47.17306414146601,55.612736605324194,33.106677113466965,80.53097345132744,0,0,0,0,0,51.35278238060266,False,
AVANTEL LIMITED,Manufacturing,1.0,0.75,,0.0,0.3322,,1.0,1.0,0.5,0.0,0.3792,,1.0,34.89254108723135,80.65739570164348,,0.0,86.97850821744628,,7.458912768647281,18.63753213367609,60.93552465233881,38.91752577319588,54.29835651074589,,16.56131479140329,50.63211125158028,31.487373831964515,54.29835651074589,16.56131479140329,0,0,0,0,0,41.0743102975719,False,
AVT NATURAL PRODUCTS LIMITED,Manufacturing,1.0,0.375,0.004940374094020649,0.0,0.98405,1.0,1.0,1.0,0.65,0.04177892189961736,0.3131,0.0,1.0,34.89254108723135,40.07585335018963,13.392857142857139,0.0,22.882427307206072,23.794416243654823,7.458912768647281,18.63753213367609,43.36283185840708,99.29123711340206,63.59039190897598,63.93775372124493,16.56131479140329,22.50634918852317,42.18762846853313,63.76407281511045,16.56131479140329,0,0,0,0,0,34.98895204080276,False,
AXISCADES Technologies Limited (hereafter referred to as “AXISCADES” or the “Company”),Manufacturing,1.0,1.0,0.007126512954927939,0.0,0.65865,0.8077,0.31006666666666666,0.6923076923076923,1.0,0.0,0.49995,0.0,0.0,34.89254108723135,93.8685208596713,9.970238095238088,0.0,59.292035398230084,72.46192893401015,74.3362831858407,78.92030848329048,17.38305941845765,38.91752577319588,39.06447534766119,63.93775372124493,80.53097345132744,45.08087739573016,52.38929421519618,51.50111453445306,80.53097345132744,0,0,0,0,0,52.14686845891143,False,
AXTEL INDUSTRIES LIMITED,Manufacturing,1.0,0.625,0.0,0.0,0.5955999999999999,0.6934,0.0,0.8691176470588236,0.0,0.0,0.58945,0.0,0.0,34.89254108723135,69.59544879898863,98.28869047619048,0.0,65.61314791403288,81.47208121827411,95.448798988622,55.012853470437015,89.25410872313527,38.91752577319588,17.067003792667506,63.93775372124493,80.53097345132744,58.310318249119575,69.65832173884755,40.50237875695622,80.53097345132744,0,0,0,0,0,61.83299406692065,False,
Aarti Drugs Limited,Manufacturing,1.0,0.4375,0.0004292706163586436,0.0,1.0,1.0,0.7051833333333333,0.840387290481634,0.5,0.0,0.18585,0.0,1.0,34.89254108723135,47.97724399494311,69.04761904761905,90.0,10.429835651074598,23.794416243654823,35.27180783817951,58.74035989717223,60.93552465233881,38.91752577319588,74.46270543615677,63.93775372124493,16.56131479140329,90.0,90.0,69.20022957870086,16.56131479140329,1,0,1,0,0,79.53616591594546,False,
Aarti Industries Limited,Manufacturing,1.0,0.25,0.0030853770080384647,0.08,1.0,1.0,1.0,1.0,0.55725,0.0,0.51065,0.0,1.0,34.89254108723135,20.606826801517066,20.535714285714292,61.44121365360303,10.429835651074598,23.794416243654823,7.458912768647281,18.63753213367609,47.02907711757269,38.91752577319588,29.203539823008853,63.93775372124493,16.56131479140329,28.61675795379919,28.010761948272986,46.57064677212689,16.56131479140329,0,0,0,0,0,29.89219835837458,False,
Aarti Pharmalabs Ltd,Manufacturing,1.0,0.375,0.004999999977032644,0.32,0.80705,0.8563,0.4883,0.7658730158730159,0.45,0.0,0.15084999999999998,0.0,1.0,34.89254108723135,40.07585335018963,13.24404761904762,73.83059418457648,44.37420986093552,67.25888324873097,56.89001264222503,70.30848329048843,73.95701643489254,38.91752577319588,77.4968394437421,63.93775372124493,16.56131479140329,45.612688225118596,60.018259535200464,70.71729658249352,16.56131479140329,0,0,0,0,0,51.51519209388196,False,
Abbott India Limited,Manufacturing,1.0,0.25,0.0005502843509238161,2.63,0.8383,1.0,0.8333333333333334,0.9,1.0,0.008310249307479225,0.29275,0.0,0.3333333333333333,34.89254108723135,20.606826801517066,62.648809523809526,92.2882427307206,39.19089759797725,23.794416243654823,24.525916561314787,51.02827763496144,17.38305941845765,91.23711340206185,65.36030341340077,63.93775372124493,52.275600505689,45.57028899748511,46.04359175419893,64.64902856732286,52.275600505689,0,0,0,0,0,49.268287048630995,False,
Accelya Solutions India Limited,Manufacturing,1.0,1.0,4.565724316011755e-11,0.0,0.7878000000000001,0.9294,0.5,0.0,1.0,0.0,0.0,0.0,0.0,34.89254108723135,93.8685208596713,94.3452380952381,0.0,47.02907711757269,59.51776649746193,53.72945638432364,98.0719794344473,17.38305941845765,38.91752577319588,94.43742098609356,63.93775372124493,80.53097345132744,54.942190609529234,52.025505252606116,79.18758735366924,80.53097345132744,0,0,0,0,0,60.11703853040696,False,
