Rank,Company,SS,AS,CCS,OES,RTS,TOS
815,fino_payments_bank_ltd_2023_2024,0.277,1.0,0.5556,0.0,0.0,0.3581
816,knr_constructions_ltd_2023_2024,0.2093,1.0,0.2222,0.0,1.0,0.3579
817,protean_egov_technologies_ltd_2023_2024,0.2093,1.0,0.2222,0.0,1.0,0.3579
818,emami_ltd_2023_2024,0.0977,0.0,0.3333,1.0,0.0,0.3578
819,blue_dart_express_ltd_2023_2024,0.2085,1.0,0.2222,0.0,1.0,0.3577
820,niit_ltd_2023_2024,0.0902,0.0,0.3333,1.0,0.0,0.3559
821,niit_learning_systems_ltd_2023_2024,0.0902,0.0,0.3333,1.0,0.0,0.3559
822,indus_towers_ltd_2023_2024,0.0865,0.0,0.3333,1.0,0.0,0.355
823,jyothy_labs_ltd_2023_2024,0.2595,1.0,0.5556,0.0,0.0,0.3538
824,centrum_capital_ltd_2023_2024,0.0812,0.0,0.3333,1.0,0.0,0.3536
825,sammaan_capital_ltd_2023_2024,0.3018,1.0,0.1111,0.0,1.0,0.3532
826,kotak_mahindra_bank_ltd_2023_2024,0.277,1.0,0.3333,0.0,0.5,0.3526
827,mishtann_foods_ltd_2023_2024,0.3854,1.0,0.2222,0.0,0.5,0.3519
828,sterling_and_wilson_renewable_energy_ltd_2022_2023,0.2515,1.0,0.5556,0.0,0.0,0.3518
829,repro_india_ltd_2023_2024,0.2823,1.0,0.2222,0.3,0.0,0.3511
830,flair_writing_industries_ltd_2023_2024,0.2924,1.0,0.1111,0.0,1.0,0.3509
831,tilaknagar_industries_ltd_2023_2024,0.1803,1.0,0.2222,0.0,1.0,0.3506
832,jk_lakshmi_cement_ltd_2023_2024,0.1564,1.0,0.4444,0.0,0.5,0.3502
833,gujarat_state_fertilizers_chemicals_ltd_2023_2024,0.1553,0.6667,0.4444,0.0,1.0,0.3499
834,bajaj_finance_limited_2023_2024,0.2426,1.0,0.5556,0.0,0.0,0.3495
835,sanghi_industries_ltd_2023_2024,0.275,0.6667,0.2222,0.3,0.5,0.3493
836,sharda_cropchem_ltd_2023_2024,0.375,1.0,0.2222,0.0,0.5,0.3493
837,nuvoco_vistas_corporation_ltd_2023_2024,0.375,1.0,0.2222,0.0,0.5,0.3493
838,zen_technologies_ltd_2022_2023,0.2842,1.0,0.1111,0.0,1.0,0.3488
839,nava_ltd_2023_2024,0.2842,1.0,0.1111,0.0,1.0,0.3488
840,sindhu_trade_links_limited_2023_2024,0.0601,0.0,0.3333,0.8,0.5,0.3484
841,max_estates_ltd_2023_2024,0.2711,1.0,0.2222,0.3,0.0,0.3483
842,bajaj_consumer_care_ltd_2023_2024,0.2569,1.0,0.3333,0.0,0.5,0.3476
843,matrimonycom_ltd_2023_2024,0.0569,0.0,0.3333,0.8,0.5,0.3476
